,freqs,Vertikal,Horizontal,Ref
27,0.1400159439112222,-26.051736767150278,-42.122385849341235,-25.97177510408617
28,0.14501651333662302,-25.713783703914096,-41.97692843325555,-25.658386819765802
29,0.1500170827620238,-25.97575709169675,-42.21712943468909,-25.970792845873845
30,0.1550176521874246,-26.31534198841143,-41.60377356055928,-26.346905972957924
31,0.1600182216128254,-26.921765749674556,-42.46336015226202,-26.978558053025687
32,0.16501879103822617,-27.575162542351688,-42.917511675822546,-27.591359900104855
33,0.17001936046362698,-27.24421070735653,-42.37365436170784,-27.28210555515309
34,0.17501992988902776,-28.460411591347174,-43.34798457665221,-28.4587617682841
35,0.18002049931442857,-27.737611721217906,-42.69257407553856,-27.728165088253085
36,0.18502106873982935,-28.199557459743264,-43.7649742457847,-28.22059455291923
37,0.19002163816523016,-29.294025622480213,-44.10165126042596,-29.301709840685316
38,0.19502220759063094,-29.695589628552842,-44.28397465531896,-29.677650200784903
39,0.20002277701603174,-29.024685445470105,-43.625941121304336,-28.99908616265375
40,0.20502334644143252,-29.17257873034149,-44.13626826881707,-29.157066810515843
41,0.21002391586683333,-30.52446605950599,-45.20534082457172,-30.50384580271804
42,0.2150244852922341,-30.31900348559756,-44.74456340161586,-30.271368825127304
43,0.22002505471763492,-31.207482759434622,-45.71614793614795,-31.131737371894154
44,0.2250256241430357,-31.417567477991795,-45.383501152841326,-31.422123503079938
45,0.2300261935684365,-32.11696451296656,-46.48063548449382,-32.056355728405535
46,0.2350267629938373,-33.790271080547754,-47.72818047815525,-33.837554341525944
47,0.24002733241923807,-32.956184482747204,-46.67383283540193,-32.94252014980163
48,0.24502790184463888,-34.392677716889,-48.20510696713214,-34.41049395344185
49,0.2500284712700397,-34.995878801217856,-49.5372139816206,-34.95322858300823
50,0.25502904069544047,-34.7066501717684,-47.78347156386523,-34.74419826841285
51,0.26002961012084125,-35.1632292058763,-48.84120519143139,-35.13889567265359
52,0.26503017954624203,-34.11126860810517,-47.52722270217869,-34.022844937705464
